customer_id,ownership,activation_plan_code,mnp_flag,calls_incoming_cnt,calls_outgoing_cnt,calls_incoming_duration,calls_outgoing_duration,total_call_count,total_sum_duration,tot_usage_mb,upload_usage_mb,download_usage_mb,days_since_latch,cnt_open_qrc,avg_days_to_close,cnt_call_drops,pcnt_dropped_calls,rsrp_voice_pcnt_poor_duration,rsrp_data_pcnt_poor_duration,mean_cqi_voice_pcnt_poor_duration,sinr_voice_pcnt_poor_duration,sinr_data_pcnt_poor_duration,age_on_network,cnt_connections,current_plan_code,cnt_recharges_made,total_payment_made,cnt_main_plans_taken,total_main_plans_mrp,cnt_addon_plans_taken,total_addon_plans_mrp,cnt_rchg_offline,cnt_rchg_online,cnt_rchg_on_or_before_expiry,cnt_rchg_after_expiry,current_active_plan_mrp,current_active_plan_validity,last_cycle_plan_mrp,last_cycle_plan_validity,avg_days_bw_rchg_and_expiry,stddev_days_bw_rchg_and_expiry,price_per_day,gb_per_day_quota,pcnt_quota_used,device_avg_asp,recharge_delay
10000,individual,4,0,48.0,53.0,72.16159829759573,74.35265176333532,101.0,146.51425006093103,19025.177933502506,559.1196386740969,18466.05829482841,3,4,14,1.4559957174708067,1.4415799182879272,79.67671132401435,80.6531413752059,41.80428139458257,44.6265193413699,55.50641742536187,591,4,3,66,900.5474032453104,51,695.8775388713763,15,204.66986437393416,31,35,60.0,6.0,500,120,500,120,-0.9466273665008318,4.295530726312982,4.166666666666667,2.0,30.965458876143398,20K_to_30K,-2.280882575693643
10001,individual,5,0,27.0,20.0,48.61732459532063,28.796835360763083,47.0,77.41415995608372,21286.305357713747,2541.5297888137516,18744.775568899997,2,7,7,3.2484619090866453,6.911621083163076,48.87904839163735,49.47805619366815,51.26438148976976,43.79331326319024,54.470076589030604,467,8,3,53,723.1668541212341,21,286.5378101235079,32,436.6290439977262,24,29,44.0,9.0,1500,365,300,90,2.052358711850835,5.692949454949714,4.109589041095891,3.0,23.097119528769255,10K_to_20K,5.849923470160537
10002,individual,5,0,65.0,62.0,74.23361667271053,76.22820782496257,127.0,150.4618244976731,4281.846904162305,480.53931868887935,3801.307585473425,4,2,13,4.717427983328709,3.714510223093472,40.306708192664885,40.8006628312277,1.7127289538029555,36.502618231402636,45.401917841093784,421,1,5,49,668.5882236215184,15,204.6698643739342,34,463.91835924758425,22,27,5.0,44.0,999,180,128,28,2.4743930170472597,0.8173819663819406,5.55,3.0,4.646101241495557,less_10K,4.464801200249214
10003,individual,3,0,147.0,6.0,207.69026880384163,6.331997969821137,153.0,214.02226677366278,6481.760739201395,477.7798988946924,6003.980840306703,5,3,6,6.5069371095355155,4.25290007159184,84.98561623825108,86.0271063830514,21.161195707170954,38.28330774163876,47.616737565304334,416,2,2,48,654.9435659965894,12,163.73589149914736,36,491.2076744974421,22,26,21.0,27.0,128,28,500,120,-0.5469198613838051,1.6272886652303669,4.571428571428571,1.0,21.099481572921206,50K_above,6.392938321854992
10004,individual,3,0,13.0,56.0,22.55010374140301,93.48498031090536,69.0,116.03508405230836,2170.313254641924,273.57668954742417,1896.7365650944994,2,6,9,2.402178637673415,3.4814183154687175,36.486409549487284,36.93354681396753,99.40069436397651,13.954571330807301,17.356681020868535,759,6,5,82,1118.8619252441736,20,272.89315249857896,62,845.9687727455946,39,43,59.0,23.0,99,15,1500,365,-3.5266082222900788,4.742363419700009,6.6,0.5,14.129643584908358,less_10K,-3.9566914781527673
10005,individual,10,0,90.0,57.0,95.78698762370271,74.6050408357063,147.0,170.392028459409,6975.730174746799,938.6408381547336,6037.089336592066,5,3,5,1.576146451749599,1.0722084705779586,33.45920723142542,33.86924643719724,59.18972994367549,27.874253937497947,34.66996748368418,195,3,8,26,354.7610982481526,11,150.0912338742184,15,204.66986437393422,11,15,20.0,6.0,999,180,128,28,2.144688584816601,3.5433417686332382,5.55,3.0,7.5691516653068565,20K_to_30K,4.847457969818734
10006,individual,1,0,122.0,54.0,185.4818744649796,67.44717660021043,176.0,252.92905106519004,16703.014540260763,5309.308615929792,11393.70592433097,6,5,5,5.28498893677933,3.0028346231700738,69.35252314649998,70.20243131415536,62.164847505750174,32.514523917902004,40.44153036378347,318,1,8,38,518.4969897473,10,136.44657624928948,28,382.05041349801047,17,21,9.0,29.0,999,180,99,15,-2.4199776717950763,1.1861592441266287,5.55,3.0,18.123930707748222,30K_to_50K,2.4046203250843217
10007,individual,5,0,10.0,87.0,15.462991236117452,159.8461811000747,97.0,175.30917233619215,17539.24596080886,596.2365959871642,16943.009364821697,3,3,10,2.289781502058102,2.360599486657837,63.69090188124433,64.47142745202797,27.769487733670207,61.23735260666619,76.1669542230838,508,1,3,57,777.7454846209499,44,600.3649354968736,13,177.3805491240763,26,31,38.0,19.0,500,120,500,120,-1.2884998285032938,3.8437198747992367,4.166666666666667,2.0,28.546949806004008,less_10K,-0.6931574669239287
10008,individual,8,0,214.0,5.0,348.6332892181475,6.943099278629021,219.0,355.57638849677653,10965.444616411416,3435.823161531306,7529.621454880111,7,2,5,5.172750687759019,2.361986615415077,18.88564504357511,19.117086716433484,7.510948165530795,70.83778949021817,88.1079674365046,381,1,6,45,614.0095931218026,23,313.8271253733658,22,300.1824677484368,20,25,34.0,11.0,99,15,500,120,3.5734617765072034,0.43561290277673986,6.6,0.5,71.38961338809516,10K_to_20K,0.0787158444579763
10009,corporate,1,0,21.0,24.0,29.211313216003468,36.10031134908584,45.0,65.31162456508932,2171.309671571046,1290.8061688606597,880.503502710386,2,5,7,1.174635132992257,2.610300295538349,80.52777654395265,81.51463631347046,99.01002087499725,34.84458709148288,43.33966046778976,476,5,10,54,736.8115117461631,21,286.5378101235079,33,450.2737016226552,25,29,28.0,26.0,1500,365,999,180,0.45753172480063586,1.6459726196810802,4.109589041095891,3.0,2.3560217790484437,50K_above,6.825499728615908
